,current_delta,soc_coulomb,soc_kalman
0,0.012859,[-15.9398524],[-15.9398524]
1,0.012859,[-15.97134103],[-15.97134103]
2,0.012859,[-16.00282966],[-16.00282966]
3,0.012859,[-16.03431829],[-16.03431829]
4,0.012859,[-16.06580692],[-16.06580692]
5,0.012859,[-16.09729556],[-16.09729556]
6,0.013668,[-16.12878419],[-16.12878419]
7,0.023524,[-16.16225387],[-16.16225387]
8,0.03126,[-16.21985855],[-16.21985855]
9,0.050602,[-16.29640685],[-10.77319498]
10,0.58049,[-16.42031911],[-10.89710724]
11,2.6467,[-17.84180102],[-12.31858916]
12,3.8424,[-24.32293968],[-18.79972781]
13,4.1121,[-33.73206318],[-28.20885131]
14,-0.23677,[-43.80161782],[-38.27840595]
15,3.1954,[-43.22182441],[-37.69861255]
16,4.134,[-51.04659883],[-45.52338697]
17,2.8259,[-61.16978136],[-55.6465695]
18,2.5489,[-68.08973819],[-62.56652632]
19,2.6931,[-74.33138791],[-72.18736992]
20,2.3144,[-80.92614912],[-78.78213113]
21,3.5036,[-86.59356413],[-84.44954614]
22,2.7033,[-95.17304703],[-93.02902904]
23,1.057,[-101.79278562],[-99.64876763]
24,-0.44999,[-104.38112716],[-102.23710917]
25,-0.4451,[-103.27920871],[-101.13519072]
26,-1.8319,[-102.18926469],[-100.0452467]
27,-0.6912,[-97.7033774],[-95.55935941]
28,-0.41631,[-96.01079303],[-93.86677505]
29,0.39479,[-94.99134888],[-88.39271085]
30,1.4094,[-95.95809567],[-89.35945764]
31,-0.067283,[-99.40938098],[-92.81074295]
32,0.40082,[-99.24462092],[-92.64598289]
33,-1.6765,[-100.22613375],[-93.62749571]
34,-3.0094,[-96.12078408],[-89.52214605]
35,-2.9658,[-88.75147941],[-82.15284138]
36,-2.8139,[-81.48894077],[-74.89030274]
37,-2.1029,[-74.59836909],[-67.99973106]
38,-1.7886,[-69.44886727],[-62.85022924]
39,-1.0515,[-65.06901137],[-62.64499276]
40,-0.33154,[-62.49413802],[-60.07011941]
41,-0.00027238,[-61.68227544],[-59.25825682]
42,0.012859,[-61.68160844],[-59.25758983]
43,0.012859,[-61.71309707],[-59.28907846]
